,Chapter Name,Username,Date,Text,Negative,Neutral,Positive,Compound
162,QUEEN OF DEATH,PrincessSaiahCheng,Jan 10 2019,Ohh.  It's my first time to this..  And I am excited ,0.0,0.789,0.211,0.34
163,QUEEN OF DEATH,GhostWriterGirl-1,Jan 08 2019,Athena's my fave ,0.0,0.408,0.592,0.4404
164,QUEEN OF DEATH,GhostWriterGirl-1,Jan 08 2019,AAAAHH THAT SOUNDS LIKE IT'S GOING TO BE AN AWESOME TRILOGY WITH THE BIG THREE!  (P.S. If you could  would you do a spin-off focusing on Medusa and Perseus?) ,0.0,0.757,0.243,0.854
165,QUEEN OF DEATH,evabrighis,Jan 03 2019,soft woman my ass ,0.538,0.462,0.0,-0.5423
166,QUEEN OF DEATH,bohemian_tragedy,Dec 31 2018,Waaahh!! Sean O'pry as Hades!! Geez! It suits him ,0.0,1.0,0.0,0.0
167,QUEEN OF DEATH,bohemian_tragedy,Dec 31 2018,Yaay! It's Thylane Blondeau!! ,0.0,1.0,0.0,0.0
168,QUEEN OF DEATH,s313698s,Dec 23 2018,I thought hades was the oldest? then Poseidon and lastly zeus ,0.0,1.0,0.0,0.0
169,QUEEN OF DEATH,XxPunkGothxX,Dec 23 2018,oh wow!   Sounds interesting ,0.0,0.227,0.773,0.7777
170,QUEEN OF DEATH,elynsea,Dec 15 2018,The Greek family is quite a messed up one. This brother marrying that sister marrying her son! Can't keep with the drama! ,0.141,0.859,0.0,-0.5068
171,QUEEN OF DEATH,romanticismskiss,Nov 27 2018,Wifey red heart  ,0.0,1.0,0.0,0.0
172,QUEEN OF DEATH,romanticismskiss,Nov 27 2018,Ooof look at bae ,0.0,1.0,0.0,0.0
173,QUEEN OF DEATH,romanticismskiss,Nov 27 2018,She's stunning ,0.0,0.278,0.722,0.3818
174,QUEEN OF DEATH,amazeofwords,Nov 22 2018,I adore the quote used here. revolving hearts  ,0.0,0.625,0.375,0.5574
175,QUEEN OF DEATH,amazeofwords,Nov 22 2018,Totally. Pinterest has so many beautiful poems. And some even with modern day. They really are a treat to read. green heart  ,0.0,0.726,0.274,0.7996
176,QUEEN OF DEATH,amazeofwords,Nov 22 2018,Oh my gosh. It is written in so poetic and beautiful way. A seductive way. I almost forgot we were talking about fruit.  see-no-evil monkey  ,0.0,0.841,0.159,0.6326
177,QUEEN OF DEATH,amazeofwords,Nov 22 2018,Damn right  he is. thinking face  ,0.351,0.649,0.0,-0.4019
178,QUEEN OF DEATH,amazeofwords,Nov 22 2018,You really do know how to find a perfect picture. It is so damn appropriate.  smiling face with heart-eyes  ,0.137,0.589,0.274,0.5381
179,QUEEN OF DEATH,amazeofwords,Nov 22 2018,WOW..!  smiling face with heart-eyes  ,0.0,0.549,0.451,0.5093
180,QUEEN OF DEATH,amazeofwords,Nov 22 2018,Before I even begin to read this  the cover? It is freaking amazing. smiling face with heart-eyes  ,0.124,0.575,0.301,0.6124
181,QUEEN OF DEATH,Jells_,Nov 17 2018,this is about persephone right? ,0.0,1.0,0.0,0.0
182,QUEEN OF DEATH,Jells_,Nov 17 2018,ooh this is going to based on greek mythology  the quote makes a lot more sense now ,0.0,1.0,0.0,0.0
183,QUEEN OF DEATH,AudenNyx,Nov 16 2018,I CANNOT WAIT FOR POSEIDON AND APHIRITE ,0.0,1.0,0.0,0.0
184,QUEEN OF DEATH,AudenNyx,Nov 16 2018,This just gave me chills. ,0.0,1.0,0.0,0.0
185,QUEEN OF DEATH,gulabjamuns,Nov 14 2018,Is this a rewrite?? Of the original QoD  I mean ,0.0,0.725,0.275,0.3939
186,QUEEN OF DEATH,Midnight_Phantom18,Nov 08 2018,Definitely going to check these poems out!!! ,0.0,0.627,0.373,0.5538
187,QUEEN OF DEATH,Midnight_Phantom18,Nov 08 2018, red heart  red heart Greek mythology gods  smiling face with heart-eyes  red heart  red heart  ,0.0,0.824,0.176,0.4588
