,Comments,Scraped Comments,Reads,Votes,Chapter Name,Chapter,Part,Username,Date,Original,Text,Negative,Neutral,Positive,Compound
40,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,angvstvi,2020-07-02,"oh to be persephone 🖤
",oh to be persephone  black heart  ,0.0,1.0,0.0,0.0
41,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,angvstvi,2020-07-02,"(tragic but beautiful)
",(tragic but beautiful) ,0.0,1.0,0.0,0.0
42,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,angvstvi,2020-07-02,"mythology is just <333
",mythology is just <333 ,0.0,1.0,0.0,0.0
43,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,angvstvi,2020-07-02,"!!!
",!!! ,0.0,1.0,0.0,0.0
44,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,angvstvi,2020-07-02,"now THIS is a retelling
",now this is a retelling ,0.0,1.0,0.0,0.0
45,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,urcyanide,2020-06-22,"lolzzzz yesssss
",lolzzzz yesssss ,0.0,1.0,0.0,0.0
46,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,ROYALTEA-,2020-06-20,"yessssssssssssssss
",yessssssssssssssss ,0.0,1.0,0.0,0.0
47,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Gold_dots,2020-06-12,"Getting PJO vibes
",getting pjo vibes ,0.0,1.0,0.0,0.0
48,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,bIxssm,2020-06-05,"I only chose to believe in Lore Olympus.....jk
",i only chose to believe in lore olympus.....jk ,0.0,1.0,0.0,0.0
49,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,n0_n4me104,2020-05-11,"i have a bad experience with retellings about Zeus and Hera but I'm excited to see what your version would look like
",i have a bad experience with retellings about zeus and hera but i'm excited to see what your version would look like ,0.088,0.664,0.248,0.6249
50,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,lihayila,2020-05-05,"I'm hooked
",i'm hooked ,0.0,1.0,0.0,0.0
51,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,localfairyqueen,2020-04-07,"I wonder what demeter thought she'd accomplish by doing this😂 even if she succeeded  persephone would've turned on her
",i wonder what demeter thought she'd accomplish by doing this face with tears of joy  even if she succeeded  persephone would've turned on her ,0.063,0.627,0.31,0.8176
52,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,localfairyqueen,2020-04-07,"Ion like zeus bc of what he did to medusa :/
",ion like zeus bc of what he did to medusa  / ,0.0,0.783,0.217,0.3612
53,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,localfairyqueen,2020-04-07,"All the other retellings of this r kinda cringey😂 so ty for trying ur hand at this
",all the other retellings of this r kinda cringey face with tears of joy  so ty for trying ur hand at this ,0.065,0.581,0.354,0.8579
54,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,auroradawnx,2020-04-03,"bella baby !!!
",bella baby !!! ,0.0,1.0,0.0,0.0
55,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,auroradawnx,2020-04-03,"yEs
",yes ,0.0,0.0,1.0,0.4019
56,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,auroradawnx,2020-04-03,"phoebe 🥺🤩
",phoebe  pleading face  star-struck  ,0.0,1.0,0.0,0.0
57,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,ThEfaLlEn_AngEl_,2020-03-22,"Omg i have goosebumps
",omg i have goosebumps ,0.0,1.0,0.0,0.0
58,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,jimins_hotchoco,2020-03-18,"Now I'm hooked
",now i'm hooked ,0.0,1.0,0.0,0.0
59,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Aclassicb1tch,2020-02-14,"Ahh lana my queen
",ahh lana my queen ,0.0,1.0,0.0,0.0
60,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Maggie3Joya,2020-01-30,"Tbh all the ancient gods have horrible ideas of marriage and romance. I think the only pure one is Orpheus and Euridice
",tbh all the ancient gods have horrible ideas of marriage and romance. i think the only pure one is orpheus and euridice ,0.134,0.728,0.138,0.0258
61,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,Maggie3Joya,2020-01-30,"*cough* Hadestown Cast album*cough* :)
",*cough* hadestown cast album*cough*  ) ,0.0,1.0,0.0,0.0
62,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,waverly64,2020-01-15,"This comment may be offensive. Can I just say with that Face I’d fuck Him too😩🤪🤤
",can i just say with that face i'd fuck him too weary face  zany face  drooling face,0.286,0.714,0.0,-0.6808
63,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,waverly64,2020-01-15,"In some it’s said that Zeus raped her and that he was her father
",in some it's said that zeus raped her and that he was her father ,0.261,0.739,0.0,-0.6808
64,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-BasicWitch,2020-01-04,"Young and beautiful should be a national anthem
",young and beautiful should be a national anthem ,0.0,0.606,0.394,0.5994
65,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-BasicWitch,2020-01-04,"She's incredibly beautiful
",she's incredibly beautiful ,0.0,0.323,0.677,0.6361
66,592,349,17700,751,QUEEN OF DEATH,QUEEN OF DEATH,NA,-BasicWitch,2020-01-04,"Goddess of beauty!!! Sasha Luss is gorgeous
",goddess of beauty!!! sasha luss is gorgeous ,0.0,0.366,0.634,0.865
